Grade,Term 1,Term 2,
8,1.429,1.714,1.5715
8,2.429,2.714,2.5715
8,2.286,2.143,2.2145
7,2.571,1.857,2.214
7,3.286,2.143,2.7145
7,2.429,2,2.2145
7,3,3.429,3.2145
8,3.714,3.714,3.714
6,3.571,3.286,3.4285
6,3.429,3.857,3.643
7,3.714,4,3.857
6,4,3.571,3.7855
8,3.714,3.286,3.5
6,3.857,3.714,3.7855
8,3.571,3.714,3.6425
7,3.429,2.857,3.143
6,3.571,3.286,3.4285
8,3,2.286,2.643
7,2.143,2.143,2.143
8,,,#DIV/0!
8,4,3.571,3.7855
6,3.857,3.875,3.866
6,2.571,2,2.2855
8,2.571,2.429,2.5
6,2.857,2.857,2.857
7,3.429,3.143,3.286
8,2.857,2.857,2.857
8,3.286,,3.286
6,2.857,2.286,2.5715
8,2.571,2.143,2.357
8,3.286,3,3.143
6,4,4,4
7,1.857,2,1.9285
6,3.857,4,3.9285
8,,,#DIV/0!
7,,,#DIV/0!
6,,,#DIV/0!
7,4,,4
6,3.571,3.286,3.4285
8,3,2.571,2.7855
8,1.571,1.571,1.571
7,3.714,2.857,3.2855
8,2.714,2,2.357
6,3.714,3.714,3.714
8,2.429,,2.429
8,3.429,3.429,3.429
8,3.143,2.857,3
8,1.429,1.143,1.286
7,2,2.143,2.0715
7,2.857,3.429,3.143
7,3,2.75,2.875
8,3.571,3.857,3.714
